Flesch Score,title,Paragraph Order,prompt,id,generator
35.61,"2015 smashes record for hottest year, final figures confirm",1,news,n1h,human
53.55,"2015 smashes record for hottest year, final figures confirm",2,news,n1h,human
72.36,"2015 smashes record for hottest year, final figures confirm",3,news,n1h,human
31.55,"2015 smashes record for hottest year, final figures confirm",4,news,n1h,human
52.87,"2015 smashes record for hottest year, final figures confirm",5,news,n1h,human
54.52,"2015 smashes record for hottest year, final figures confirm",6,news,n1h,human
57.61,"2015 smashes record for hottest year, final figures confirm",7,news,n1h,human
40.52,"2015 smashes record for hottest year, final figures confirm",8,news,n1h,human
67.08,"2015 smashes record for hottest year, final figures confirm",9,news,n1h,human
68.4,"2015 smashes record for hottest year, final figures confirm",10,news,n1h,human
54.22,"2015 smashes record for hottest year, final figures confirm",11,news,n1h,human
35.27,"2015 smashes record for hottest year, final figures confirm",12,news,n1h,human
42.04,"2015 smashes record for hottest year, final figures confirm",13,news,n1h,human
59.64,"2015 smashes record for hottest year, final figures confirm",14,news,n1h,human
70.97,"2015 smashes record for hottest year, final figures confirm",15,news,n1h,human
57.61,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,1,news,n2h,human
78.79,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,2,news,n2h,human
71.85,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,3,news,n2h,human
67.08,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,4,news,n2h,human
74.49,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,5,news,n2h,human
59.64,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,6,news,n2h,human
64.41,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,7,news,n2h,human
48.47,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,8,news,n2h,human
71.14,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,9,news,n2h,human
65.56,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,10,news,n2h,human
59.33,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,11,news,n2h,human
86.03,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,12,news,n2h,human
80.96,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,13,news,n2h,human
58.62,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,14,news,n2h,human
46.61,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,15,news,n2h,human
74.19,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,16,news,n2h,human
55.74,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,17,news,n2h,human
55.74,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,18,news,n2h,human
80.78,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,19,news,n2h,human
55.24,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,20,news,n2h,human
72.16,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,21,news,n2h,human
70.13,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,22,news,n2h,human
87.11,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,23,news,n2h,human
43.4,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,24,news,n2h,human
75.84,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,25,news,n2h,human
52.87,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,1,news,n3h,human
42.38,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,2,news,n3h,human
65.73,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,3,news,n3h,human
41.71,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,4,news,n3h,human
85.02,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,5,news,n3h,human
77.91,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,6,news,n3h,human
80.62,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,7,news,n3h,human
37.98,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,8,news,n3h,human
46.44,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,9,news,n3h,human
33.25,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,10,news,n3h,human
40.69,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,11,news,n3h,human
37.47,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,12,news,n3h,human
54.9,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,13,news,n3h,human
110.06,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,14,news,n3h,human
78.93,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,15,news,n3h,human
47.46,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",1,news,n4h,human
56.25,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",2,news,n4h,human
34.94,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",3,news,n4h,human
56.26,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",4,news,n4h,human
90.46,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",5,news,n4h,human
46.44,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",6,news,n4h,human
35.95,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",7,news,n4h,human
72.66,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",8,news,n4h,human
68.44,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",9,news,n4h,human
82.99,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",10,news,n4h,human
107.01,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",11,news,n4h,human
73.85,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",12,news,n4h,human
70.81,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",13,news,n4h,human
75.5,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",14,news,n4h,human
56.59,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",15,news,n4h,human
38.66,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",16,news,n4h,human
41.7,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",17,news,n4h,human
80.62,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",18,news,n4h,human
78.93,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",19,news,n4h,human
90.09,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",20,news,n4h,human
75.88,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",21,news,n4h,human
53.55,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",22,news,n4h,human
67.08,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",23,news,n4h,human
74.53,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",24,news,n4h,human
97.2,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",25,news,n4h,human
31.55,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",26,news,n4h,human
57.61,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",27,news,n4h,human
82.99,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",28,news,n4h,human
47.46,"Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal
? Sky Sports and BT Sport have paid £5.136bn to secure Premier League TV rights from 2016-19 
? Sky have bought five of the seven packages to retain stranglehold 
? The deal means each game will cost a staggering £10.2m
? Richard Scudamore defended the Premier League as an instution
Richard Scudamore has insisted the Premier League is a success story but not a charity, after criticism on the record £5bn TV deal announced on Tuesday.",29,news,n4h,human
71.65,"Stocks Fall, Wiping Out Gains for 2018",1,news,n5h,human
41.53,"Stocks Fall, Wiping Out Gains for 2018",2,news,n5h,human
49.65,"Stocks Fall, Wiping Out Gains for 2018",3,news,n5h,human
18.7,"Stocks Fall, Wiping Out Gains for 2018",4,news,n5h,human
70.84,"Stocks Fall, Wiping Out Gains for 2018",5,news,n5h,human
38.32,"Stocks Fall, Wiping Out Gains for 2018",6,news,n5h,human
57.95,"Stocks Fall, Wiping Out Gains for 2018",7,news,n5h,human
57.3,"Stocks Fall, Wiping Out Gains for 2018",8,news,n5h,human
69.79,"Stocks Fall, Wiping Out Gains for 2018",9,news,n5h,human
63.53,"Stocks Fall, Wiping Out Gains for 2018",10,news,n5h,human
56.89,"Stocks Fall, Wiping Out Gains for 2018",11,news,n5h,human
56.76,"Stocks Fall, Wiping Out Gains for 2018",12,news,n5h,human
72.16,"Stocks Fall, Wiping Out Gains for 2018",13,news,n5h,human
49.86,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",1,news,n1a,ai
46.14,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",2,news,n1a,ai
60.18,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",3,news,n1a,ai
50.36,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",4,news,n1a,ai
37.84,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",5,news,n1a,ai
57.1,"﻿2015 Smashes Record for Hottest Year, Final Figures Confirm",6,news,n1a,ai
63.73,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,1,news,n2a,ai
62.38,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,2,news,n2a,ai
52.53,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,3,news,n2a,ai
56.29,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,4,news,n2a,ai
61.97,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,5,news,n2a,ai
41.4,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,6,news,n2a,ai
40.69,﻿Bigger Chickens Bring a Tough New Problem: ‘Woody Breast’,7,news,n2a,ai
46.95,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,1,news,n3a,ai
57.61,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,2,news,n3a,ai
70.13,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,3,news,n3a,ai
56.08,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,4,news,n3a,ai
67.79,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,5,news,n3a,ai
60.99,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,6,news,n3a,ai
46.81,﻿F1 circuits could withdraw from rescheduled 2020 calendar due to fallout from coronavirus pandemic,7,news,n3a,ai
59.64,﻿Richard Scudamore says Premier League is 'not a charity' following £5bn TV deal,1,news,n4a,ai
