Articl1,Article2,Cosine Similarity,generator,prompt,Paragraph Order
1,1,0.9999998,human,news,first
1,2,0.6340302,human,news,first
1,3,0.66883576,human,news,first
1,4,0.6182195,human,news,first
1,5,0.65978396,human,news,first
2,1,0.6340302,human,news,first
2,2,1.0,human,news,first
2,3,0.7526257,human,news,first
2,4,0.6871592,human,news,first
2,5,0.68711334,human,news,first
3,1,0.66883576,human,news,first
3,2,0.7526257,human,news,first
3,3,1.0,human,news,first
3,4,0.7814288,human,news,first
3,5,0.7446208,human,news,first
4,1,0.6182195,human,news,first
4,2,0.6871592,human,news,first
4,3,0.7814288,human,news,first
4,4,0.9999999,human,news,first
4,5,0.7051719,human,news,first
5,1,0.65978396,human,news,first
5,2,0.68711334,human,news,first
5,3,0.7446208,human,news,first
5,4,0.7051719,human,news,first
5,5,1.0000002,human,news,first
1,1,1.0000002,ai,news,first
1,2,0.7815379,ai,news,first
1,3,0.76800275,ai,news,first
1,4,0.7303219,ai,news,first
1,5,0.7973425,ai,news,first
2,1,0.7815379,ai,news,first
2,2,0.99999964,ai,news,first
2,3,0.7824398,ai,news,first
2,4,0.7415173,ai,news,first
2,5,0.80243814,ai,news,first
3,1,0.76800275,ai,news,first
3,2,0.7824398,ai,news,first
3,3,1.0000001,ai,news,first
3,4,0.79143715,ai,news,first
3,5,0.8084477,ai,news,first
4,1,0.7303219,ai,news,first
4,2,0.7415173,ai,news,first
4,3,0.79143715,ai,news,first
4,4,1.0,ai,news,first
4,5,0.78140974,ai,news,first
5,1,0.7973425,ai,news,first
5,2,0.80243814,ai,news,first
5,3,0.8084477,ai,news,first
5,4,0.78140974,ai,news,first
5,5,1.0,ai,news,first
1,1,0.9999997,ai,blog,first
1,2,0.83455443,ai,blog,first
1,3,0.84597635,ai,blog,first
1,4,0.8130499,ai,blog,first
1,5,0.7700089,ai,blog,first
2,1,0.83455443,ai,blog,first
2,2,0.9999999,ai,blog,first
2,3,0.90765166,ai,blog,first
2,4,0.8514345,ai,blog,first
2,5,0.8168063,ai,blog,first
3,1,0.84597635,ai,blog,first
3,2,0.90765166,ai,blog,first
3,3,1.0000002,ai,blog,first
3,4,0.86591035,ai,blog,first
3,5,0.7843293,ai,blog,first
4,1,0.8130499,ai,blog,first
4,2,0.8514345,ai,blog,first
4,3,0.86591035,ai,blog,first
4,4,1.0,ai,blog,first
4,5,0.7983811,ai,blog,first
5,1,0.7700089,ai,blog,first
5,2,0.8168063,ai,blog,first
5,3,0.7843293,ai,blog,first
5,4,0.7983811,ai,blog,first
5,5,0.99999994,ai,blog,first
1,1,1.0000002,human,blog,first
1,2,0.81315696,human,blog,first
1,3,0.86787254,human,blog,first
1,4,0.70307034,human,blog,first
1,5,0.8389391,human,blog,first
2,1,0.81315696,human,blog,first
2,2,0.9999998,human,blog,first
2,3,0.8028681,human,blog,first
2,4,0.6883632,human,blog,first
2,5,0.8040545,human,blog,first
3,1,0.86787254,human,blog,first
3,2,0.8028681,human,blog,first
3,3,0.9999998,human,blog,first
3,4,0.6784016,human,blog,first
3,5,0.8104316,human,blog,first
4,1,0.70307034,human,blog,first
4,2,0.6883632,human,blog,first
4,3,0.6784016,human,blog,first
4,4,0.9999999,human,blog,first
4,5,0.6991564,human,blog,first
5,1,0.8389391,human,blog,first
5,2,0.8040545,human,blog,first
5,3,0.8104316,human,blog,first
5,4,0.6991564,human,blog,first
5,5,1.0,human,blog,first
1,1,0.9999999,ai,exam,first
1,2,0.84401727,ai,exam,first
1,3,0.81735605,ai,exam,first
1,4,0.7708478,ai,exam,first
1,5,0.84273386,ai,exam,first
2,1,0.84401727,ai,exam,first
2,2,0.9999998,ai,exam,first
2,3,0.87615746,ai,exam,first
2,4,0.90382934,ai,exam,first
2,5,0.916162,ai,exam,first
3,1,0.81735605,ai,exam,first
3,2,0.87615746,ai,exam,first
3,3,0.99999994,ai,exam,first
3,4,0.91919684,ai,exam,first
3,5,0.88013774,ai,exam,first
4,1,0.7708478,ai,exam,first
4,2,0.90382934,ai,exam,first
4,3,0.91919684,ai,exam,first
4,4,1.0000002,ai,exam,first
4,5,0.9019925,ai,exam,first
5,1,0.84273386,ai,exam,first
5,2,0.916162,ai,exam,first
5,3,0.88013774,ai,exam,first
5,4,0.9019925,ai,exam,first
5,5,1.0,ai,exam,first
1,1,1.0000002,human,exam,first
1,2,0.8012216,human,exam,first
1,3,0.7734709,human,exam,first
1,4,0.77016306,human,exam,first
1,5,0.78519726,human,exam,first
2,1,0.8012216,human,exam,first
2,2,0.9999998,human,exam,first
2,3,0.7904727,human,exam,first
2,4,0.8125462,human,exam,first
2,5,0.87770736,human,exam,first
3,1,0.7734709,human,exam,first
3,2,0.7904727,human,exam,first
3,3,1.0000002,human,exam,first
3,4,0.76663935,human,exam,first
3,5,0.8232793,human,exam,first
4,1,0.77016306,human,exam,first
4,2,0.8125462,human,exam,first
4,3,0.76663935,human,exam,first
4,4,1.0000002,human,exam,first
4,5,0.8123207,human,exam,first
5,1,0.78519726,human,exam,first
5,2,0.87770736,human,exam,first
5,3,0.8232793,human,exam,first
5,4,0.8123207,human,exam,first
5,5,1.0,human,exam,first
1,1,1.0,human,news,last
1,2,0.8252486,human,news,last
1,3,0.747916,human,news,last
1,4,0.7527821,human,news,last
1,5,0.57243526,human,news,last
2,1,0.8252486,human,news,last
2,2,1.0,human,news,last
2,3,0.751814,human,news,last
2,4,0.7383275,human,news,last
2,5,0.48936287,human,news,last
3,1,0.747916,human,news,last
3,2,0.751814,human,news,last
3,3,0.9999999,human,news,last
3,4,0.65447545,human,news,last
3,5,0.52169687,human,news,last
4,1,0.7527821,human,news,last
4,2,0.7383275,human,news,last
4,3,0.65447545,human,news,last
4,4,0.9999998,human,news,last
4,5,0.56918883,human,news,last
5,1,0.57243526,human,news,last
5,2,0.48936287,human,news,last
5,3,0.52169687,human,news,last
5,4,0.56918883,human,news,last
5,5,0.9999999,human,news,last
1,1,0.9999999,ai,news,last
1,2,0.849937,ai,news,last
1,3,0.87040377,ai,news,last
1,4,0.8239808,ai,news,last
1,5,0.86370397,ai,news,last
2,1,0.849937,ai,news,last
2,2,0.9999998,ai,news,last
2,3,0.8570676,ai,news,last
2,4,0.82219917,ai,news,last
2,5,0.8618559,ai,news,last
3,1,0.87040377,ai,news,last
3,2,0.8570676,ai,news,last
3,3,1.0000001,ai,news,last
3,4,0.83971965,ai,news,last
3,5,0.8735354,ai,news,last
4,1,0.8239808,ai,news,last
4,2,0.82219917,ai,news,last
4,3,0.83971965,ai,news,last
4,4,1.0000001,ai,news,last
4,5,0.8277102,ai,news,last
5,1,0.86370397,ai,news,last
5,2,0.8618559,ai,news,last
5,3,0.8735354,ai,news,last
5,4,0.8277102,ai,news,last
5,5,1.0,ai,news,last
1,1,1.0,ai,blog,last
1,2,0.87329817,ai,blog,last
1,3,0.80965406,ai,blog,last
1,4,0.8553643,ai,blog,last
1,5,0.7319099,ai,blog,last
2,1,0.87329817,ai,blog,last
2,2,0.99999994,ai,blog,last
2,3,0.86002564,ai,blog,last
2,4,0.92000693,ai,blog,last
2,5,0.73200774,ai,blog,last
3,1,0.80965406,ai,blog,last
3,2,0.86002564,ai,blog,last
3,3,1.0000002,ai,blog,last
3,4,0.8377845,ai,blog,last
3,5,0.7011975,ai,blog,last
4,1,0.8553643,ai,blog,last
4,2,0.92000693,ai,blog,last
4,3,0.8377845,ai,blog,last
4,4,1.0,ai,blog,last
4,5,0.7076477,ai,blog,last
5,1,0.7319099,ai,blog,last
5,2,0.73200774,ai,blog,last
5,3,0.7011975,ai,blog,last
5,4,0.7076477,ai,blog,last
5,5,1.0000001,ai,blog,last
1,1,0.9999999,human,blog,last
1,2,0.86643976,human,blog,last
1,3,0.44903272,human,blog,last
1,4,0.78409183,human,blog,last
1,5,0.78342986,human,blog,last
2,1,0.86643976,human,blog,last
2,2,1.0,human,blog,last
2,3,0.40923735,human,blog,last
2,4,0.8121439,human,blog,last
2,5,0.778998,human,blog,last
3,1,0.44903272,human,blog,last
3,2,0.40923735,human,blog,last
3,3,1.0,human,blog,last
3,4,0.449673,human,blog,last
3,5,0.49599126,human,blog,last
4,1,0.78409183,human,blog,last
4,2,0.8121439,human,blog,last
4,3,0.449673,human,blog,last
4,4,0.99999994,human,blog,last
4,5,0.7541381,human,blog,last
5,1,0.78342986,human,blog,last
5,2,0.778998,human,blog,last
5,3,0.49599126,human,blog,last
5,4,0.7541381,human,blog,last
5,5,0.9999998,human,blog,last
1,1,0.9999998,ai,exam,last
1,2,0.8096864,ai,exam,last
1,3,0.80116665,ai,exam,last
1,4,0.84197766,ai,exam,last
1,5,0.81054825,ai,exam,last
2,1,0.8096864,ai,exam,last
2,2,0.9999999,ai,exam,last
2,3,0.87314844,ai,exam,last
2,4,0.8870799,ai,exam,last
2,5,0.87663996,ai,exam,last
3,1,0.80116665,ai,exam,last
3,2,0.87314844,ai,exam,last
3,3,1.0,ai,exam,last
3,4,0.9296141,ai,exam,last
3,5,0.855478,ai,exam,last
4,1,0.84197766,ai,exam,last
4,2,0.8870799,ai,exam,last
4,3,0.9296141,ai,exam,last
4,4,0.9999999,ai,exam,last
4,5,0.8760794,ai,exam,last
5,1,0.81054825,ai,exam,last
5,2,0.87663996,ai,exam,last
5,3,0.855478,ai,exam,last
5,4,0.8760794,ai,exam,last
5,5,0.99999994,ai,exam,last
1,1,1.0,human,exam,last
1,2,0.7334834,human,exam,last
1,3,0.7005812,human,exam,last
1,4,0.68359804,human,exam,last
1,5,0.7526606,human,exam,last
2,1,0.7334834,human,exam,last
2,2,0.9999999,human,exam,last
2,3,0.79958147,human,exam,last
2,4,0.7760569,human,exam,last
2,5,0.8260738,human,exam,last
3,1,0.7005812,human,exam,last
3,2,0.79958147,human,exam,last
3,3,0.99999976,human,exam,last
3,4,0.83075213,human,exam,last
3,5,0.7795917,human,exam,last
4,1,0.68359804,human,exam,last
4,2,0.7760569,human,exam,last
4,3,0.83075213,human,exam,last
4,4,0.9999999,human,exam,last
4,5,0.7312489,human,exam,last
5,1,0.7526606,human,exam,last
5,2,0.8260738,human,exam,last
5,3,0.7795917,human,exam,last
5,4,0.7312489,human,exam,last
5,5,1.0,human,exam,last
